"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36"
"Allium (309)",0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.008,0.494,0.1,0,0.002,0.155,0.003,0,0,0,0,0,0,0.001,0,0.002,0.05,0.079,0.051,0,0.009,0.033,0.001
"Alysseae (60)",0.464,0.053,0.063,0.008,0.171,0.02,0.073,0.001,0.023,0.003,0.01,0,0.062,0.007,0.027,0,0.001,0,0.001,0,0.003,0.001,0.002,0,0,0,0.001,0,0.002,0.002,0.001,0,0,0,0,0
"Anarcardiaceae (250)",0,0,0,0,0,0,0,0,0,0,0,0.001,0.07,0.055,0,0,0.014,0.026,0.012,0,0.002,0,0,0,0,0.001,0.002,0,0.741,0.007,0.001,0,0.065,0,0.002,0.001
"Annonaceae (188)",0,0,0,0,0,0,0.176,0.057,0,0,0.054,0.009,0.044,0.255,0.088,0.033,0.003,0.036,0.007,0.002,0,0,0.103,0.004,0,0,0.019,0.001,0.019,0.037,0.05,0.002,0,0.001,0.001,0
"Antirrhineae (191)",0,0,0,0,0,0,0.015,0,0,0,0.009,0,0.239,0,0.126,0.003,0.005,0.001,0.022,0.003,0,0,0.001,0,0,0,0,0,0.063,0.286,0.028,0.016,0.128,0,0.05,0.005
"Apioideae (847)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Apocynaceae (733)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Arabideae (226)",0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0.032,0,0,0.005,0.015,0,0,0,0,0,0,0,0,0,0.067,0.07,0.645,0.018,0,0.012,0.045,0.081
"Araceae (96)",0.004,0.001,0.149,0,0.001,0,0.002,0.025,0.056,0,0.047,0.003,0.182,0.006,0.156,0.002,0.1,0,0.05,0,0,0.002,0,0.001,0.002,0,0.004,0,0.091,0.014,0.029,0,0.072,0,0.002,0
"Arecaceae (1460)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.001,0.021,0.841,0,0.008,0.122
"Begonia (301)",0,0,0,0,0,0,0.012,0.002,0,0,0.026,0,0.112,0.167,0.058,0.021,0.033,0.176,0.017,0.011,0,0,0.013,0.003,0,0.001,0.086,0.001,0.08,0,0.038,0.003,0.112,0.01,0.017,0
"Bignonieae (99)",0.118,0.02,0.194,0.026,0.044,0.007,0.016,0.001,0.071,0.01,0.026,0,0.268,0.039,0.098,0.002,0.008,0.001,0.003,0,0.001,0,0,0,0.023,0.003,0.009,0,0.006,0.001,0.002,0,0.003,0,0,0
"Bombacoideae (93)",0.002,0.057,0.002,0.001,0.001,0.021,0,0.001,0.001,0,0.001,0,0.051,0,0.035,0.024,0.001,0,0.001,0,0.001,0.001,0,0.001,0.184,0,0.053,0,0.325,0.005,0.206,0.001,0.016,0,0.009,0
"Bulbophyllum (178)",0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.009,0.055,0.244,0,0.011,0.007,0.012,0,0,0,0,0,0,0,0,0.022,0.017,0.437,0.053,0.076,0.001,0.011,0.042
"Cardamineae (125)",0,0,0.001,0,0,0,0,0,0,0,0.001,0,0.007,0.004,0.133,0.023,0.001,0,0.001,0,0.004,0.006,0,0,0.004,0.003,0.001,0.006,0.744,0,0,0.047,0.007,0,0.006,0
"Carex (991)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.999
"Chamaecrista (93)",0,0,0,0,0,0,0,0,0,0,0.006,0.001,0,0.016,0,0.002,0,0.002,0.004,0,0,0,0.024,0.004,0,0.001,0,0.001,0.398,0.035,0.282,0.125,0.064,0.009,0.023,0.001
"Chrysobalanaceae (134)",0,0,0,0,0,0,0.002,0,0,0,0.001,0,0.106,0.03,0.039,0.004,0.111,0.015,0.041,0,0,0,0,0,0.396,0,0.002,0,0.008,0.001,0.004,0.004,0.157,0.021,0.058,0
"Croton (253)",0,0,0,0,0,0,0.016,0,0,0,0.031,0.006,0.149,0.414,0.127,0,0.001,0,0,0,0,0,0.189,0,0,0,0.005,0,0.023,0.026,0.01,0,0.001,0,0,0
"Cyclanthaceae (51)",0.19,0.031,0.048,0.004,0.07,0.01,0.082,0.003,0.009,0.001,0.011,0.001,0.328,0.051,0.108,0.001,0.028,0.001,0.011,0,0.001,0,0,0,0,0,0.001,0,0.007,0.001,0.002,0,0,0,0,0
"Ericaceae (386)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.001,0,0,0.001,0,0,0,0,0,0,0.001,0,0,0,0,0.007,0,0.981,0,0,0
"Erysimeae (62)",0.458,0.054,0.066,0.009,0.169,0.023,0.062,0.001,0.024,0.003,0.009,0,0.062,0.007,0.023,0,0.001,0,0,0,0.013,0.002,0.004,0,0.002,0,0.001,0,0.004,0,0.001,0,0,0,0,0
"Eucalypts (665)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.956,0,0.044
"Fagales (501)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.005,0,0,0.994,0,0
"Ficus (254)",0,0,0,0,0,0,0.155,0.01,0,0,0.023,0.001,0.381,0.049,0.143,0.006,0.022,0.005,0.008,0,0,0,0.067,0.002,0,0,0.014,0,0.071,0.013,0.027,0,0.001,0,0,0
"Hakea (137)",0.003,0,0.001,0,0.001,0,0,0,0,0,0,0,0.553,0.07,0.199,0.004,0.017,0.002,0.006,0,0,0,0,0,0,0.002,0.005,0,0.092,0.011,0.029,0.001,0.002,0,0.001,0
"Heliconia (125)",0.193,0.044,0.065,0.009,0.071,0.016,0.026,0.001,0.024,0.003,0.009,0,0.394,0.089,0.01,0.005,0.017,0.002,0.006,0,0.001,0,0,0,0,0,0,0,0.008,0.002,0.003,0,0,0,0,0
"Lecythidaceae (104)",0.023,0.025,0.066,0.009,0.007,0.009,0.115,0.004,0.024,0.003,0.091,0.002,0.28,0.102,0.103,0.009,0.034,0.005,0.013,0,0,0,0.006,0,0.001,0,0.008,0,0.034,0.01,0.012,0,0.002,0,0.001,0
"Lepidieae (91)",0.001,0.012,0.009,0.001,0.002,0.005,0.001,0.005,0.003,0,0.022,0.002,0.229,0.045,0.084,0.016,0.023,0.01,0.001,0.002,0,0.012,0,0.001,0.046,0,0.018,0,0.247,0.095,0.091,0.006,0.003,0,0.007,0
"Lobelioideae (117)",0.006,0.001,0.001,0.007,0.002,0,0.015,0,0,0,0.002,0,0.687,0.014,0.221,0.005,0.002,0.003,0.001,0,0,0,0.001,0,0,0,0,0,0.025,0,0.008,0,0,0,0,0
"Lupinus (95)",0,0.022,0.155,0.045,0,0.008,0,0,0.057,0.017,0.021,0.001,0,0.003,0.003,0,0.006,0.002,0.002,0,0,0,0,0.001,0.001,0.001,0.002,0,0.198,0.086,0.343,0,0.001,0.024,0,0
"Lysimachieae (94)",0.004,0.004,0.027,0.002,0.002,0.001,0.01,0.051,0.01,0.001,0.016,0.024,0.12,0.001,0.047,0.125,0.104,0.055,0.097,0,0,0.097,0.002,0.006,0.013,0.047,0.016,0,0.021,0.07,0.008,0.003,0.012,0,0.005,0
"Melastomataceae (1811)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738,0.001,0,0,0.26
"Meliaceae (217)",0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.136,0,0.019,0.133,0.118,0.049,0.008,0,0,0,0,0,0,0,0,0.002,0.075,0.182,0.005,0.117,0.029,0.124,0.002
"Mimosoids (1610)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myrteae (502)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.665,0.09,0.244,0
"Onagraceae (254)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359,0.316,0.01,0.028,0.257,0.031
"Paepalanthus (140)",0,0,0,0,0,0,0,0.033,0,0,0.002,0.063,0.004,0.033,0.002,0.036,0.001,0.1,0.007,0.023,0,0,0.017,0.038,0,0.005,0.018,0.333,0.116,0,0.067,0.057,0.001,0.001,0.037,0.005
"Poaceae (2632)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Primulaceae (192)",0,0,0,0,0,0,0.017,0.002,0,0,0.005,0,0.005,0.067,0.414,0.016,0.006,0.009,0.037,0,0,0,0,0,0.003,0.001,0.001,0,0.021,0.004,0.385,0.001,0,0.002,0.003,0
"Quercus (139)",0.017,0.011,0.051,0.007,0.006,0.004,0.002,0,0.019,0.003,0.007,0,0.424,0.142,0.156,0.008,0.072,0.008,0.027,0.001,0,0,0,0,0.008,0.001,0,0,0.01,0.008,0.004,0,0.004,0,0.002,0
"Restionaceae (78)",0.001,0.272,0.322,0.044,0.001,0.1,0.002,0.005,0.118,0.016,0.043,0.001,0.005,0.037,0.002,0.002,0.006,0.001,0.002,0,0,0.002,0.005,0,0.002,0,0.001,0,0.007,0.001,0.003,0,0,0,0,0
"Ruellia (120)",0,0.001,0.007,0.001,0,0,0,0,0.002,0,0.002,0,0,0.001,0.001,0,0,0,0.001,0,0,0.002,0,0.001,0.087,0.012,0.301,0.031,0.1,0.007,0.037,0.001,0.261,0.043,0.098,0.004
"Salvia (330)",0,0,0,0,0,0,0.003,0,0,0,0,0,0.007,0.002,0.013,0,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0.001,0.389,0.002,0,0.162,0.086,0.33,0.001
"Solanaceae (874)",0,0,0,0,0,0,0,0,0,0,0.004,0.047,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spermacoceae (151)",0.009,0.01,0.045,0.013,0.003,0.004,0.002,0.009,0.016,0.005,0.006,0.003,0.001,0.001,0.003,0.002,0.002,0.001,0.001,0.001,0.041,0.088,0.012,0,0.265,0.062,0.132,0.001,0.147,0.024,0.059,0.008,0.022,0.001,0.001,0
"Thelypodieae (83)",0.237,0.085,0.149,0.02,0.087,0.031,0.032,0.007,0.055,0.007,0.044,0,0.032,0.092,0.012,0.005,0.02,0.003,0.007,0,0.002,0.003,0.01,0.001,0.002,0.001,0.01,0,0.004,0.01,0.004,0.001,0.017,0.002,0.006,0
"Vanguerieae (134)",0,0.407,0.007,0.116,0,0.15,0,0.007,0.003,0.042,0.004,0.002,0,0.055,0,0.018,0.005,0.084,0.002,0.001,0.001,0.003,0.002,0.001,0,0.001,0.001,0.001,0.047,0.013,0.021,0.002,0.002,0.003,0,0
"Velloziaceae (94)",0,0.018,0.003,0.001,0,0.007,0.05,0.001,0.001,0.001,0.118,0.001,0.086,0.048,0.032,0.002,0.048,0.006,0.018,0,0,0,0.004,0.013,0,0,0.006,0,0.006,0.454,0.002,0.013,0.023,0.032,0.005,0
"Viburnum (126)",0.03,0.018,0.01,0.003,0.011,0.006,0.145,0.009,0.004,0.001,0.041,0.002,0.126,0.314,0.046,0.038,0.038,0.003,0.035,0,0.001,0.001,0.019,0.001,0,0,0.047,0,0.03,0.005,0.006,0.001,0.007,0,0.004,0
"Vrieseinae (56)",0.19,0.047,0.035,0.004,0.07,0.017,0.267,0.008,0.018,0.003,0.039,0.001,0.028,0.004,0.174,0.004,0.013,0.002,0.006,0,0.001,0.003,0.014,0,0,0,0.003,0,0.029,0.004,0.011,0,0.001,0,0.001,0
